회사,stock_code,기준일,시가총액,시가총액_억원,시가총액_조원,종가,상장주식수,수집일
한화오션,042660,2026-06-09,31315448866800,313154.4887,31.315449,102200,306413394,2026-06-10
삼성중공업,010140,2026-06-09,22748000000000,227480.0,22.748,25850,880000000,2026-06-10
대한조선,439260,2026-06-09,2319603657000,23196.0366,2.319604,60900,38088730,2026-06-10
HD현대중공업,329180,2026-06-09,64236269700000,642362.697,64.23627,612000,104961225,2026-06-10
한화오션,042660,2026-06-04,35268181649400,352681.8165,35.268182,115100,306413394,2026-06-08
삼성중공업,010140,2026-06-04,24992000000000,249920.0,24.992,28400,880000000,2026-06-08
대한조선,439260,2026-06-04,2361501260000,23615.0126,2.361501,62000,38088730,2026-06-08
HD현대중공업,329180,2026-06-04,68329757475000,683297.5748,68.329757,651000,104961225,2026-06-08
한화오션,042660,2026-06-02,35543953704000,355439.537,35.543954,116000,306413394,2026-06-05
삼성중공업,010140,2026-06-02,24376000000000,243760.0,24.376,27700,880000000,2026-06-05
대한조선,439260,2026-06-02,2338648022000,23386.4802,2.338648,61400,38088730,2026-06-05
HD현대중공업,329180,2026-06-02,70638904425000,706389.0443,70.638904,673000,104961225,2026-06-05
한화오션,042660,2026-05-29,37780771480200,377807.7148,37.780771,123300,306413394,2026-06-05
삼성중공업,010140,2026-05-29,24596000000000,245960.0,24.596,27950,880000000,2026-06-05
대한조선,439260,2026-05-29,2407207736000,24072.0774,2.407208,63200,38088730,2026-06-05
HD현대중공업,329180,2026-05-29,73053012600000,730530.126,73.053013,696000,104961225,2026-06-05
한화오션,042660,2026-04-30,40385285329200,403852.8533,40.385285,131800,306413394,2026-06-05
삼성중공업,010140,2026-04-30,28468000000000,284680.0,28.468,32350,880000000,2026-06-05
대한조선,439260,2026-04-30,3448104924000,34481.0492,3.448105,89500,38526312,2026-06-05
HD현대중공업,329180,2026-04-30,71898439125000,718984.3912,71.898439,685000,104961225,2026-06-05
한화오션,042660,2026-03-31,36830889958800,368308.8996,36.83089,120200,306413394,2026-06-05
삼성중공업,010140,2026-03-31,21516000000000,215160.0,21.516,24450,880000000,2026-06-05
대한조선,439260,2026-03-31,3301704938400,33017.0494,3.301705,85700,38526312,2026-06-05
HD현대중공업,329180,2026-03-31,48806969625000,488069.6962,48.80697,465000,104961225,2026-06-05
한화오션,042660,2026-02-27,43265571232800,432655.7123,43.265571,141200,306413394,2026-06-05
삼성중공업,010140,2026-02-27,25476000000000,254760.0,25.476,28950,880000000,2026-06-05
대한조선,439260,2026-02-27,3833368044000,38333.6804,3.833368,99500,38526312,2026-06-05
HD현대중공업,329180,2026-02-27,63291618675000,632916.1867,63.291619,603000,104961225,2026-06-05
한화오션,042660,2026-01-30,42438255069000,424382.5507,42.438255,138500,306413394,2026-06-05
삼성중공업,010140,2026-01-30,25916000000000,259160.0,25.916,29450,880000000,2026-06-05
대한조선,439260,2026-01-30,2681431315200,26814.3132,2.681431,69600,38526312,2026-06-05
HD현대중공업,329180,2026-01-30,60352704375000,603527.0437,60.352704,575000,104961225,2026-06-05
한화오션,042660,2025-12-30,34808561558400,348085.6156,34.808562,113600,306413394,2026-06-05
삼성중공업,010140,2025-12-30,21208000000000,212080.0,21.208,24100,880000000,2026-06-05
대한조선,439260,2025-12-30,2581262904000,25812.629,2.581263,67000,38526312,2026-06-05
HD현대중공업,329180,2025-12-30,53425263525000,534252.6353,53.425264,509000,104961225,2026-06-05
한화오션,042660,2025-11-28,33031363873200,330313.6387,33.031364,107800,306413394,2026-06-05
삼성중공업,010140,2025-11-28,21648000000000,216480.0,21.648,24600,880000000,2026-06-05
대한조선,439260,2025-11-28,2639052372000,26390.5237,2.639052,68500,38526312,2026-06-05
HD현대중공업,329180,2025-11-28,47493617060000,474936.1706,47.493617,535000,88773116,2026-06-05
한화오션,042660,2025-10-31,42162483014400,421624.8301,42.162483,137600,306413394,2026-06-05
삼성중공업,010140,2025-10-31,26004000000000,260040.0,26.004,29550,880000000,2026-06-05
대한조선,439260,2025-10-31,2854799719200,28547.9972,2.8548,74100,38526312,2026-06-05
HD현대중공업,329180,2025-10-31,53263869600000,532638.696,53.26387,600000,88773116,2026-06-05
한화오션,042660,2025-09-30,33797397358200,337973.9736,33.797397,110300,306413394,2026-06-05
삼성중공업,010140,2025-09-30,19272000000000,192720.0,19.272,21900,880000000,2026-06-05
대한조선,439260,2025-09-30,3116778640800,31167.7864,3.116779,80900,38526312,2026-06-05
HD현대중공업,329180,2025-09-30,45718154740000,457181.5474,45.718155,515000,88773116,2026-06-05
한화오션,042660,2025-08-29,34318300128000,343183.0013,34.3183,112000,306413394,2026-06-05
삼성중공업,010140,2025-08-29,18744000000000,187440.0,18.744,21300,880000000,2026-06-05
대한조선,439260,2025-08-29,3309410200800,33094.102,3.30941,85900,38526312,2026-06-05
HD현대중공업,329180,2025-08-29,46162020320000,461620.2032,46.16202,520000,88773116,2026-06-05
한화오션,042660,2025-07-31,34410224146200,344102.2415,34.410224,112300,306413394,2026-06-05
삼성중공업,010140,2025-07-31,16755200000000,167552.0,16.7552,19040,880000000,2026-06-05
HD현대중공업,329180,2025-07-31,43543213398000,435432.134,43.543213,490500,88773116,2026-06-05
한화오션,042660,2025-06-30,24329223483600,243292.2348,24.329223,79400,306413394,2026-06-05
삼성중공업,010140,2025-06-30,14748800000000,147488.0,14.7488,16760,880000000,2026-06-05
HD현대중공업,329180,2025-06-30,38039280206000,380392.8021,38.03928,428500,88773116,2026-06-05
한화오션,042660,2025-05-30,23900244732000,239002.4473,23.900245,78000,306413394,2026-06-05
삼성중공업,010140,2025-05-30,14872000000000,148720.0,14.872,16900,880000000,2026-06-05
HD현대중공업,329180,2025-05-30,35997498538000,359974.9854,35.997499,405500,88773116,2026-06-05
한화오션,042660,2025-04-30,24053451429000,240534.5143,24.053451,78500,306413394,2026-06-05
삼성중공업,010140,2025-04-30,12821600000000,128216.0,12.8216,14570,880000000,2026-06-05
HD현대중공업,329180,2025-04-30,35686792632000,356867.9263,35.686793,402000,88773116,2026-06-05
한화오션,042660,2025-03-31,20560338737400,205603.3874,20.560339,67100,306413394,2026-06-05
삼성중공업,010140,2025-03-31,11862400000000,118624.0,11.8624,13480,880000000,2026-06-05
HD현대중공업,329180,2025-03-31,24767699364000,247676.9936,24.767699,279000,88773116,2026-06-05
한화오션,042660,2025-02-28,22766515174200,227665.1517,22.766515,74300,306413394,2026-06-05
삼성중공업,010140,2025-02-28,12276000000000,122760.0,12.276,13950,880000000,2026-06-05
HD현대중공업,329180,2025-02-28,26276842336000,262768.4234,26.276842,296000,88773116,2026-06-05
한화오션,042660,2025-01-31,17526846136800,175268.4614,17.526846,57200,306413394,2026-06-05
삼성중공업,010140,2025-01-31,11448800000000,114488.0,11.4488,13010,880000000,2026-06-05
HD현대중공업,329180,2025-01-31,27608439076000,276084.3908,27.608439,311000,88773116,2026-06-05
한화오션,042660,2024-12-30,11444540265900,114445.4027,11.44454,37350,306413394,2026-06-05
삼성중공업,010140,2024-12-30,9944000000000,99440.0,9.944,11300,880000000,2026-06-05
HD현대중공업,329180,2024-12-30,25522270850000,255222.7085,25.522271,287500,88773116,2026-06-05
한화오션,042660,2024-11-29,10724468790000,107244.6879,10.724469,35000,306413394,2026-06-05
삼성중공업,010140,2024-11-29,10225600000000,102256.0,10.2256,11620,880000000,2026-06-05
HD현대중공업,329180,2024-11-29,19530085520000,195300.8552,19.530086,220000,88773116,2026-06-05
한화오션,042660,2024-10-31,8196558289500,81965.5829,8.196558,26750,306413394,2026-06-05
삼성중공업,010140,2024-10-31,8439200000000,84392.0,8.4392,9590,880000000,2026-06-05
HD현대중공업,329180,2024-10-31,16209970981600,162099.7098,16.209971,182600,88773116,2026-06-05
한화오션,042660,2024-09-30,9360929186700,93609.2919,9.360929,30550,306413394,2026-06-05
삼성중공업,010140,2024-09-30,8826400000000,88264.0,8.8264,10030,880000000,2026-06-05
HD현대중공업,329180,2024-09-30,16387517213600,163875.1721,16.387517,184600,88773116,2026-06-05
한화오션,042660,2024-08-30,10586582762700,105865.8276,10.586583,34550,306413394,2026-06-05
삼성중공업,010140,2024-08-30,9231200000000,92312.0,9.2312,10490,880000000,2026-06-05
HD현대중공업,329180,2024-08-30,17204229880800,172042.2988,17.20423,193800,88773116,2026-06-05
한화오션,042660,2024-07-31,9360929186700,93609.2919,9.360929,30550,306413394,2026-06-05
삼성중공업,010140,2024-07-31,10304800000000,103048.0,10.3048,11710,880000000,2026-06-05
HD현대중공업,329180,2024-07-31,18731127476000,187311.2748,18.731127,211000,88773116,2026-06-05
한화오션,042660,2024-06-28,9359264364450,93592.6436,9.359264,30550,306358899,2026-06-05
삼성중공업,010140,2024-06-28,8228000000000,82280.0,8.228,9350,880000000,2026-06-05
HD현대중공업,329180,2024-06-28,13821974161200,138219.7416,13.821974,155700,88773116,2026-06-05
한화오션,042660,2024-05-31,9098859300300,90988.593,9.098859,29700,306358899,2026-06-05
삼성중공업,010140,2024-05-31,8060800000000,80608.0,8.0608,9160,880000000,2026-06-05
HD현대중공업,329180,2024-05-31,11425100029200,114251.0003,11.4251,128700,88773116,2026-06-05
한화오션,042660,2024-04-30,9818802712950,98188.0271,9.818803,32050,306358899,2026-06-05
삼성중공업,010140,2024-04-30,8316000000000,83160.0,8.316,9450,880000000,2026-06-05
HD현대중공업,329180,2024-04-30,12224058073200,122240.5807,12.224058,137700,88773116,2026-06-05
한화오션,042660,2024-03-29,8455505612400,84555.0561,8.455506,27600,306358899,2026-06-05
삼성중공업,010140,2024-03-29,7532800000000,75328.0,7.5328,8560,880000000,2026-06-05
HD현대중공업,329180,2024-03-29,10475227688000,104752.2769,10.475228,118000,88773116,2026-06-05
한화오션,042660,2024-02-29,7230070016400,72300.7002,7.23007,23600,306358899,2026-06-05
삼성중공업,010140,2024-02-29,6952000000000,69520.0,6.952,7900,880000000,2026-06-05
HD현대중공업,329180,2024-02-29,10466350376400,104663.5038,10.46635,117900,88773116,2026-06-05
한화오션,042660,2024-01-31,6724577833050,67245.7783,6.724578,21950,306358899,2026-06-05
삼성중공업,010140,2024-01-31,6432800000000,64328.0,6.4328,7310,880000000,2026-06-05
HD현대중공업,329180,2024-01-31,10129012535600,101290.1254,10.129013,114100,88773116,2026-06-05
한화오션,042660,2023-12-28,7689608364900,76896.0836,7.689608,25100,306358899,2026-06-05
삼성중공업,010140,2023-12-28,6820000000000,68200.0,6.82,7750,880000000,2026-06-05
HD현대중공업,329180,2023-12-28,11451731964000,114517.3196,11.451732,129000,88773116,2026-06-05
한화오션,042660,2023-11-30,8363597942700,83635.9794,8.363598,27300,306358899,2026-06-05
삼성중공업,010140,2023-11-30,7022400000000,70224.0,7.0224,7980,880000000,2026-06-05
HD현대중공업,329180,2023-11-30,11114394123200,111143.9412,11.114394,125200,88773116,2026-06-05
한화오션,042660,2023-10-31,5118212216400,51182.1222,5.118212,23600,216873399,2026-06-05
삼성중공업,010140,2023-10-31,6001600000000,60016.0,6.0016,6820,880000000,2026-06-05
HD현대중공업,329180,2023-10-31,9063735143600,90637.3514,9.063735,102100,88773116,2026-06-05
한화오션,042660,2023-09-27,6712231699050,67122.317,6.712232,30950,216873399,2026-06-05
삼성중공업,010140,2023-09-27,6899200000000,68992.0,6.8992,7840,880000000,2026-06-05
HD현대중공업,329180,2023-09-27,10759301659200,107593.0166,10.759302,121200,88773116,2026-06-05
한화오션,042660,2023-08-31,8317094851650,83170.9485,8.317095,38350,216873399,2026-06-05
삼성중공업,010140,2023-08-31,7752800000000,77528.0,7.7528,8810,880000000,2026-06-05
HD현대중공업,329180,2023-08-31,11611523572800,116115.2357,11.611524,130800,88773116,2026-06-05
한화오션,042660,2023-07-31,10138831403250,101388.314,10.138831,46750,216873399,2026-06-05
삼성중공업,010140,2023-07-31,7946400000000,79464.0,7.9464,9030,880000000,2026-06-05
HD현대중공업,329180,2023-07-31,12401604305200,124016.0431,12.401604,139700,88773116,2026-06-05
한화오션,042660,2023-06-30,8176127142300,81761.2714,8.176127,37700,216873399,2026-06-05
삼성중공업,010140,2023-06-30,5869600000000,58696.0,5.8696,6670,880000000,2026-06-05
HD현대중공업,329180,2023-06-30,11691419377200,116914.1938,11.691419,131700,88773116,2026-06-05
한화오션,042660,2023-05-31,3041690466150,30416.9047,3.04169,28350,107290669,2026-06-05
삼성중공업,010140,2023-05-31,5385600000000,53856.0,5.3856,6120,880000000,2026-06-05
HD현대중공업,329180,2023-05-31,10306558767600,103065.5877,10.306559,116100,88773116,2026-06-05
한화오션,042660,2023-04-28,2891483529550,28914.8353,2.891484,26950,107290669,2026-06-05
삼성중공업,010140,2023-04-28,4998400000000,49984.0,4.9984,5680,880000000,2026-06-05
HD현대중공업,329180,2023-04-28,9729533513600,97295.3351,9.729534,109600,88773116,2026-06-05
한화오션,042660,2023-03-31,2628621390500,26286.2139,2.628621,24500,107290669,2026-06-05
삼성중공업,010140,2023-03-31,4549600000000,45496.0,4.5496,5170,880000000,2026-06-05
HD현대중공업,329180,2023-03-31,8877311600000,88773.116,8.877312,100000,88773116,2026-06-05
한화오션,042660,2023-02-28,2762734726750,27627.3473,2.762735,25750,107290669,2026-06-05
삼성중공업,010140,2023-02-28,4840000000000,48400.0,4.84,5500,880000000,2026-06-05
HD현대중공업,329180,2023-02-28,9445459542400,94454.5954,9.44546,106400,88773116,2026-06-05
한화오션,042660,2023-01-31,2473049920450,24730.4992,2.47305,23050,107290669,2026-06-05
삼성중공업,010140,2023-01-31,5095200000000,50952.0,5.0952,5790,880000000,2026-06-05
HD현대중공업,329180,2023-01-31,9836061252800,98360.6125,9.836061,110800,88773116,2026-06-05
한화오션,042660,2022-12-29,2033158177550,20331.5818,2.033158,18950,107290669,2026-06-05
삼성중공업,010140,2022-12-29,4496800000000,44968.0,4.4968,5110,880000000,2026-06-05
HD현대중공업,329180,2022-12-29,10297681456000,102976.8146,10.297681,116000,88773116,2026-06-05
한화오션,042660,2022-11-30,2049251777900,20492.5178,2.049252,19100,107290669,2026-06-05
삼성중공업,010140,2022-11-30,4584800000000,45848.0,4.5848,5210,880000000,2026-06-05
HD현대중공업,329180,2022-11-30,10519614246000,105196.1425,10.519614,118500,88773116,2026-06-05
한화오션,042660,2022-10-31,1963419242700,19634.1924,1.963419,18300,107290669,2026-06-05
삼성중공업,010140,2022-10-31,4532000000000,45320.0,4.532,5150,880000000,2026-06-05
HD현대중공업,329180,2022-10-31,9676269644000,96762.6964,9.67627,109000,88773116,2026-06-05
한화오션,042660,2022-09-30,2033158177550,20331.5818,2.033158,18950,107290669,2026-06-05
삼성중공업,010140,2022-09-30,4672800000000,46728.0,4.6728,5310,880000000,2026-06-05
HD현대중공업,329180,2022-09-30,10208908340000,102089.0834,10.208908,115000,88773116,2026-06-05
한화오션,042660,2022-08-31,2161906980350,21619.0698,2.161907,20150,107290669,2026-06-05
삼성중공업,010140,2022-08-31,5253600000000,52536.0,5.2536,5970,880000000,2026-06-05
HD현대중공업,329180,2022-08-31,12738942146000,127389.4215,12.738942,143500,88773116,2026-06-05
한화오션,042660,2022-07-29,2129719779650,21297.1978,2.12972,19850,107290669,2026-06-05
삼성중공업,010140,2022-07-29,4945600000000,49456.0,4.9456,5620,880000000,2026-06-05
HD현대중공업,329180,2022-07-29,11096639500000,110966.395,11.09664,125000,88773116,2026-06-05
한화오션,042660,2022-06-30,2574976056000,25749.7606,2.574976,24000,107290669,2026-06-05
삼성중공업,010140,2022-06-30,5341600000000,53416.0,5.3416,6070,880000000,2026-06-05
HD현대중공업,329180,2022-06-30,12694555588000,126945.5559,12.694556,143000,88773116,2026-06-05
한화오션,042660,2022-05-31,2365759251450,23657.5925,2.365759,22050,107290669,2026-06-05
삼성중공업,010140,2022-05-31,5218400000000,52184.0,5.2184,5930,880000000,2026-06-05
HD현대중공업,329180,2022-05-31,10564000804000,105640.008,10.564001,119000,88773116,2026-06-05
한화오션,042660,2022-04-29,2821744594700,28217.4459,2.821745,26300,107290669,2026-06-05
삼성중공업,010140,2022-04-29,5332800000000,53328.0,5.3328,6060,880000000,2026-06-05
HD현대중공업,329180,2022-04-29,12428236240000,124282.3624,12.428236,140000,88773116,2026-06-05
한화오션,042660,2022-03-31,2660808591200,26608.0859,2.660809,24800,107290669,2026-06-05
삼성중공업,010140,2022-03-31,4998400000000,49984.0,4.9984,5680,880000000,2026-06-05
HD현대중공업,329180,2022-03-31,10608387362000,106083.8736,10.608387,119500,88773116,2026-06-05
한화오션,042660,2022-02-28,2843202728500,28432.0273,2.843203,26500,107290669,2026-06-05
삼성중공업,010140,2022-02-28,5121600000000,51216.0,5.1216,5820,880000000,2026-06-05
HD현대중공업,329180,2022-02-28,9720656202000,97206.562,9.720656,109500,88773116,2026-06-05
한화오션,042660,2022-01-28,2118990712750,21189.9071,2.118991,19750,107290669,2026-06-05
삼성중공업,010140,2022-01-28,4558400000000,45584.0,4.5584,5180,880000000,2026-06-05
HD현대중공업,329180,2022-01-28,8815170418800,88151.7042,8.81517,99300,88773116,2026-06-05
한화오션,042660,2021-12-30,2473049920450,24730.4992,2.47305,23050,107290669,2026-06-05
삼성중공업,010140,2021-12-30,4989600000000,49896.0,4.9896,5670,880000000,2026-06-05
HD현대중공업,329180,2021-12-30,8451200643200,84512.0064,8.451201,95200,88773116,2026-06-05
한화오션,042660,2021-11-30,2478414453900,24784.1445,2.478414,23100,107290669,2026-06-05
삼성중공업,010140,2021-11-30,4461600000000,44616.0,4.4616,5070,880000000,2026-06-05
HD현대중공업,329180,2021-11-30,9454336854000,94543.3685,9.454337,106500,88773116,2026-06-05
한화오션,042660,2021-10-29,2768099260200,27680.9926,2.768099,25800,107290669,2026-06-05
삼성중공업,010140,2021-10-29,4019400000000,40194.0,4.0194,6380,630000000,2026-06-05
HD현대중공업,329180,2021-10-29,10386454572000,103864.5457,10.386455,117000,88773116,2026-06-05
한화오션,042660,2021-09-30,2886118996100,28861.19,2.886119,26900,107290669,2026-06-05
삼성중공업,010140,2021-09-30,3906000000000,39060.0,3.906,6200,630000000,2026-06-05
HD현대중공업,329180,2021-09-30,10253294898000,102532.949,10.253295,115500,88773116,2026-06-05
한화오션,042660,2021-08-31,3009503265450,30095.0327,3.009503,28050,107290669,2026-06-05
삼성중공업,010140,2021-08-31,3969000000000,39690.0,3.969,6300,630000000,2026-06-05
한화오션,042660,2021-07-30,3486946742500,34869.4674,3.486947,32500,107290669,2026-06-05
삼성중공업,010140,2021-07-30,4120200000000,41202.0,4.1202,6540,630000000,2026-06-05
한화오션,042660,2021-06-30,3841005950200,38410.0595,3.841006,35800,107290669,2026-06-05
삼성중공업,010140,2021-06-30,4227300000000,42273.0,4.2273,6710,630000000,2026-06-05
한화오션,042660,2021-05-31,3615695545300,36156.9555,3.615696,33700,107290669,2026-06-05
삼성중공업,010140,2021-05-31,3811500000000,38115.0,3.8115,6050,630000000,2026-06-05
한화오션,042660,2021-04-30,3937567552300,39375.6755,3.937568,36700,107290669,2026-06-05
삼성중공업,010140,2021-04-30,4725000000000,47250.0,4.725,7500,630000000,2026-06-05
한화오션,042660,2021-03-31,3036325932700,30363.2593,3.036326,28300,107290669,2026-06-05
삼성중공업,010140,2021-03-31,4895100000000,48951.0,4.8951,7770,630000000,2026-06-05
한화오션,042660,2021-02-26,2730547526050,27305.4753,2.730548,25450,107290669,2026-06-05
삼성중공업,010140,2021-02-26,4132800000000,41328.0,4.1328,6560,630000000,2026-06-05
한화오션,042660,2021-01-29,2623256857050,26232.5686,2.623257,24450,107290669,2026-06-05
삼성중공업,010140,2021-01-29,3912300000000,39123.0,3.9123,6210,630000000,2026-06-05
한화오션,042660,2020-12-30,2939764330600,29397.6433,2.939764,27400,107290669,2026-06-05
삼성중공업,010140,2020-12-30,4435200000000,44352.0,4.4352,7040,630000000,2026-06-05
한화오션,042660,2020-11-30,2902212596450,29022.126,2.902213,27050,107290669,2026-06-05
삼성중공업,010140,2020-11-30,4302900000000,43029.0,4.3029,6830,630000000,2026-06-05
한화오션,042660,2020-10-30,2288842805200,22888.4281,2.288843,21350,107205752,2026-06-05
삼성중공업,010140,2020-10-30,3181500000000,31815.0,3.1815,5050,630000000,2026-06-05
한화오션,042660,2020-09-29,2551496897600,25514.969,2.551497,23800,107205752,2026-06-05
삼성중공업,010140,2020-09-29,3357900000000,33579.0,3.3579,5330,630000000,2026-06-05
한화오션,042660,2020-08-31,2374607406800,23746.0741,2.374607,22150,107205752,2026-06-05
삼성중공업,010140,2020-08-31,3250800000000,32508.0,3.2508,5160,630000000,2026-06-05
한화오션,042660,2020-07-31,2535416034800,25354.1603,2.535416,23650,107205752,2026-06-05
삼성중공업,010140,2020-07-31,3603600000000,36036.0,3.6036,5720,630000000,2026-06-05
한화오션,042660,2020-06-30,2899915591600,28999.1559,2.899916,27050,107205752,2026-06-05
삼성중공업,010140,2020-06-30,3748500000000,37485.0,3.7485,5950,630000000,2026-06-05
한화오션,042660,2020-05-29,2337085393600,23370.8539,2.337085,21800,107205752,2026-06-05
삼성중공업,010140,2020-05-29,3033450000000,30334.5,3.03345,4815,630000000,2026-06-05
한화오션,042660,2020-04-29,1838578646800,18385.7865,1.838579,17150,107205752,2026-06-05
삼성중공업,010140,2020-04-29,2699550000000,26995.5,2.69955,4285,630000000,2026-06-05
한화오션,042660,2020-03-31,1441917364400,14419.1736,1.441917,13450,107205752,2026-06-05
삼성중공업,010140,2020-03-31,2457000000000,24570.0,2.457,3900,630000000,2026-06-05
한화오션,042660,2020-02-28,2374607406800,23746.0741,2.374607,22150,107205752,2026-06-05
삼성중공업,010140,2020-02-28,3672900000000,36729.0,3.6729,5830,630000000,2026-06-05
한화오션,042660,2020-01-31,2647982074400,26479.8207,2.647982,24700,107205752,2026-06-05
삼성중공업,010140,2020-01-31,4189500000000,41895.0,4.1895,6650,630000000,2026-06-05
